,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
1023,2008-04-18 12:00:00,2008_1438,775418.0,-832518.6,-2.03381,79.52566,0.007887206823879597,-0.14664639153048853,176.92137888776153,0.14685834052036673,2.1649999618530273,-3.688999891281128
1024,2008-04-19 12:00:00,2008_1438,784552.27637,-841325.67476,-1.99989,79.40965,-0.029095741480313894,-0.17727680927838707,189.32063143240964,0.1796486272706109,1.621000051498413,-6.090000152587891
1026,2008-04-18 12:00:00,2008_1441,840945.0,-1880865.55,-20.91033,71.1459,0.0018804322820111102,-0.19629107945195032,179.45113380594353,0.19630008634226093,-0.5989999771118164,0.8289999961853027
1027,2008-04-19 12:00:00,2008_1441,848015.62956,-1896281.73971,-20.90585,70.9934,0.015082077251656181,-0.22517503023770585,176.16808935012665,0.22567955888111946,-0.029999999329447746,-2.624000072479248
1029,2008-04-18 12:00:00,2008_1444,839285.85,-965935.2,-4.01313,78.22737,-0.06892771618425607,-0.29497046325683957,193.15267702068172,0.30291682728487024,1.1640000343322754,-2.177999973297119
1031,2008-04-18 12:00:00,2008_1449,746998.2,-827342.95,-2.92153,79.73653,0.022274665701813343,-0.17035270081439557,172.55048701046513,0.17180280383883875,2.128000020980835,-2.6610000133514404
1032,2008-04-19 12:00:00,2008_1449,758290.19869,-836977.6811,-2.82389,79.60171,-0.018850420548834845,-0.19972310332430593,185.39176233789016,0.20061070847878315,1.4450000524520874,-5.877999782562256
1033,2008-04-20 12:00:00,2008_1449,768669.15,-850859.4,-2.90524,79.44368,-0.023292290502641963,-0.21842085034830505,186.08698918527693,0.21965927857419576,4.388999938964844,-6.179999828338623
1034,2008-04-21 12:00:00,2008_1449,779826.55117,-866211.86567,-3.00414,79.27089,-0.11451728200487579,-0.22488346152175243,206.9865344660273,0.25236239645357184,3.2249999046325684,-2.5190000534057617
1035,2008-04-22 12:00:00,2008_1449,785473.28762,-887272.10371,-3.48181,79.09264,-0.06183986173007311,-0.25487796866757284,193.63787852494454,0.2622726585271572,2.437000036239624,-5.445000171661377
1037,2008-04-18 12:00:00,2008_1450,711221.35,-878509.2,-6.00716,79.59328,0.020187986828962154,-0.1292992899417101,171.12584120979596,0.13086581368576272,1.38100004196167,-0.5619999766349792
1038,2008-04-19 12:00:00,2008_1450,719606.36157,-886094.41257,-5.91962,79.49097,-0.005443926099534535,-0.1629488135161583,181.91347216927272,0.16303972570420047,0.6259999871253967,-4.761000156402588
1039,2008-04-20 12:00:00,2008_1450,728116.65,-897319.75,-5.9429,79.36206,-0.0116574204562995,-0.1855545149306025,183.59486977096822,0.18592034171339653,2.7769999504089355,-3.424999952316284
1040,2008-04-21 12:00:00,2008_1450,737436.15563,-910403.45781,-5.99215,79.2153,-0.007221598518721534,-0.18066098547200488,182.28907722484968,0.18080526307848885,1.7330000400543213,-0.6349999904632568
1042,2008-04-18 12:00:00,2008_1459,868668.45,-1646559.05,-17.1854,72.93672,-0.020731987781167444,-0.13299044984292224,188.86056795752592,0.1345967126893569,0.4690000116825104,-2.130000114440918
1044,2008-04-18 12:00:00,2008_1462,794078.6,-776921.6,0.62568,79.77084,-0.04120059032491377,-0.2612576581017866,188.96179522212276,0.26448639390326184,2.5309998989105225,-5.955999851226807
1045,2008-04-19 12:00:00,2008_1462,807723.76227,-795252.07424,0.44591,79.56404,-0.041686474141875374,-0.2996384868437254,187.9202974232254,0.3025243542665262,2.0789999961853027,-6.771999835968018
1047,2008-04-18 12:00:00,2008_1463,764668.15,-796027.1,-1.15115,79.83616,0.05524945262747481,-0.18256564235236467,163.16272172203492,0.1907425379488464,2.244999885559082,-4.433000087738037
1048,2008-04-19 12:00:00,2008_1463,779038.04306,-804095.66192,-0.9069,79.69157,0.031427739822951384,-0.19255138775012995,170.73007094228473,0.1950993074177354,1.9240000247955322,-6.513999938964844
1049,2008-04-20 12:00:00,2008_1463,792564.33089,-814154.67938,-0.76993,79.53918,0.03757995201451342,-0.31508451167239765,173.1984941758251,0.31731766778615783,5.136000156402588,-7.686999797821045
1050,2008-04-21 12:00:00,2008_1463,813880.28008,-831396.51461,-0.61003,79.28988,-0.01835605914517674,-0.21725435938354307,184.82951283759462,0.2180284421319726,4.53000020980835,-4.915999889373779
1051,2008-04-22 12:00:00,2008_1463,825877.85,-845919.45,-0.68676,79.11806,-0.11612327209536624,-0.2060826810472712,209.40034800770886,0.23654742811911056,3.740000009536743,-7.150000095367432
1053,2008-04-18 12:00:00,2008_1464,740611.3,-802785.65,-2.3069,79.94216,0.03832267193423455,-0.17235998365459038,167.46471332492564,0.17656894163354334,2.2230000495910645,-3.381999969482422
1055,2008-04-18 12:00:00,2008_1466,804614.8,-1632003.8,-18.75566,73.31713,-0.03781816488575371,-0.14691080901631362,194.43580701303824,0.15170036058346675,-0.2800000011920929,-0.7990000247955322
1056,2008-04-19 12:00:00,2008_1466,807297.02234,-1644833.32857,-18.85781,73.20231,-0.025659137043353895,-0.1427856728241645,190.1875379860648,0.1450728771261498,-1.659000039100647,-0.871999979019165
1057,2008-04-20 12:00:00,2008_1466,810742.4,-1656884.8,-18.9267,73.09077,-0.010057226400868882,-0.12212026056232697,184.70797516329213,0.12253369268364096,-0.10599999874830246,-2.132999897003174
1058,2008-04-21 12:00:00,2008_1466,814599.35247,-1666744.14091,-18.95353,72.99541,-0.027667681174958672,-0.15666262398090947,190.01554703155983,0.1590870149766567,0.29600000381469727,-3.1540000438690186
1059,2008-04-22 12:00:00,2008_1466,818395.15,-1679954.75,-19.02683,72.87308,-0.07280641338670375,-0.18344104755601034,201.64776682618245,0.1973610695113959,-0.14100000262260437,-0.014999999664723873
1061,2008-04-18 12:00:00,2008_1469,809870.3,-1614257.4,-18.35715,73.4397,-0.04238745920637239,-0.13846776312571707,197.0202866779283,0.14481028320879555,-0.05000000074505806,-1.2000000476837158
1062,2008-04-19 12:00:00,2008_1469,811961.70229,-1626592.97388,-18.47256,73.33144,-0.031666179219127566,-0.13907164367725164,192.8273724284361,0.14263123424211946,-1.687999963760376,-0.9990000128746033
1064,2008-04-18 12:00:00,2008_1474,558663.4,-774155.2,-9.18419,81.20366,0.018417222539586907,-0.06494858146273882,164.16845594258325,0.06750934987166363,1.0019999742507935,0.6320000290870667
1065,2008-04-19 12:00:00,2008_1474,563237.52696,-777774.45541,-9.08927,81.15214,-0.012155740367319229,-0.16057805433640143,184.3290274370878,0.16103749115762442,2.4679999351501465,-6.415999889373779
1066,2008-04-20 12:00:00,2008_1474,570524.3,-789627.4,-9.15112,81.0248,-0.01670078095649427,-0.13996660986326942,186.80434817548405,0.14095945502581042,3.7049999237060547,-3.874000072479248
1068,2008-04-18 12:00:00,2008_1476,764488.35,-1560167.65,-18.89496,74.06099,-0.04970240728159533,-0.1413970562041679,199.3670589003703,0.14987813980961398,-0.9850000143051147,-0.9679999947547913
1069,2008-04-19 12:00:00,2008_1476,766007.69902,-1573027.68052,-19.03552,73.95027,-0.042055994329289886,-0.13842510547779976,196.89970885491675,0.14467279110311396,-0.9480000138282776,0.4860000014305115
1071,2008-04-18 12:00:00,2008_1477,579141.2,-662968.15,-3.86097,81.88672,0.026657645612071942,-0.09224802256786023,163.88187145046243,0.09602253765267438,2.197000026702881,-3.2109999656677246
1072,2008-04-19 12:00:00,2008_1477,586119.31797,-667455.38159,-3.71237,81.81348,0.05144758157922645,-0.19698026553141715,165.36239887049663,0.20358801207138588,3.799999952316284,-6.714000225067139
1074,2008-04-18 12:00:00,2008_1478,862401.05,-1703004.85,-18.14236,72.50986,-0.07427513230768315,-0.13655372350161527,208.5429227373741,0.15544682268055346,1.031000018119812,-1.5240000486373901
1076,2008-04-18 12:00:00,2008_1482,532860.35,-845265.65,-12.77234,80.79507,0.017481833062220738,-0.005272952461075406,106.78460767333246,0.018259751227005128,0.6359999775886536,1.2599999904632568
1077,2008-04-19 12:00:00,2008_1482,534381.03333,-844845.55705,-12.68586,80.79088,0.018023488701267538,-0.005466052579563764,106.87117784040868,0.018834114679678316,-0.05900000035762787,-2.203000068664551
1078,2008-04-20 12:00:00,2008_1482,535949.55,-844412.25,-12.59664,80.78655,0.03596893079115511,-0.013735230464264496,110.90004367241403,0.03850221471766742,1.6510000228881836,-0.44600000977516174
